,Year,Concrete.CO2 Emissions[1],Emissions.CO2 Emissions from Energy[1],Emissions.CO2 Emissions from Food and Land Use[1],Emissions.N2O Emissions from Food and Land Use[1],Emissions.N2O Emissions from Other[1],Emissions.N2O Emissions from Energy[1],Emissions.CH4 Emissions from Energy[1],Emissions.CH4 Emissions from Food and Land Use[1],Emissions.CH4 Emissions from Other[1],Emissions.SO2 Emissions from Energy[1],Emissions.SO2 Emissions from Food and Land Use[1],Emissions.CO Emissions[1],Emissions.VOC Emissions[1],Emissions.NOx non AFOLU Emissions[1],Emissions.NOx AFOLU Emissions[1],Emissions.HFC134a eq Emissions[1]
30,2010,1263.1945011990726,32094.069638021207,5488.135590140459,1654.2586,997.04561,7583.8862,147.41324191430772,140.20150334619305,67.69519536839765,105.69075091700824,2.043314366334037,863.2679526487152,196.5354416200185,122.37128621440988,27.80524038461328,421.2124249871592
31,2011,1358.899565800769,33147.04610704977,5278.482118028092,1734.65632,1003.27003,7749.8508,151.18954903723798,140.84521864195932,68.68485183162238,109.03829451923146,2.043314366334037,815.1858402472953,190.38655658127635,126.979388341362,25.41473788688621,455.978454595004
32,2012,1394.8198246764218,33606.628285899234,5652.124599523758,1801.8408,1018.73085,7808.2482,152.5861438047352,144.02229347094143,69.72074186832309,105.9876873339555,2.043314366334037,856.4600026859608,201.7978559737167,126.00183817559147,26.173450851061435,471.4387390065225
33,2013,1454.6875995709158,33848.4083181184,5116.361824872823,1818.35315,1016.34856,7670.6684,151.14081615061488,144.51138746055665,70.78568922645393,101.4031700118286,2.043314366334037,802.5140774818615,191.4197390509983,123.66592183252742,24.00521407344934,503.3135062779782
34,2014,1502.5385317376922,33949.00234046718,5396.412768614652,1831.88079,1026.92452,7777.0567,151.04445260368405,144.98804871930855,71.9404446002077,96.665203460832,2.043314366334037,856.0925229885029,207.11530183146212,121.23952962542592,25.71927379628718,531.4004393320779
35,2015,1451.21574063764,33955.12551383196,5531.8122517838265,1823.45442,1029.47774,7826.3044,149.5463631662445,145.91957761858416,73.18802715325447,91.23651278377858,2.043314366334037,908.081690221137,220.79278200154013,119.58313604370215,27.24923282761961,571.3088358397642
36,2016,1490.460086229895,33927.64075396468,4406.432865694756,1833.15253,1026.03988,7873.0273,147.86405942581612,147.40060043011945,74.20568598796395,87.83277045958866,2.043314366334037,771.0144471160347,194.0076891107713,118.07823063623007,25.176143586834577,606.1888149643363
37,2017,1509.5544509366566,34481.81157247821,4231.194917448608,1861.47199,1031.92095,8048.4806,148.19758705240287,148.42713912433396,75.69395626420915,84.85462379521707,2.043314366334037,763.3082942886027,195.70406137812935,117.81296511538083,25.320706099572583,649.8984271038513
38,2018,1554.5749093509205,35177.35001406404,3844.874478798072,1890.53651,1045.75432,7940.3281,149.76263304760437,149.57918497820157,77.31504964667211,83.25884488450927,2.043314366334037,756.962123994467,194.72796772523157,116.59804805597358,24.287158159479542,681.8664386560755
39,2019,1623.1864946831242,35482.60497296739,3786.898473860808,1900.747,1056.18822,7945.2123,148.9512674739758,149.63421108443885,78.59741459524409,81.43515157368248,2.043314366334037,832.6722877142678,213.6134186286481,114.07813673195535,27.661464064641287,714.9996743879857
40,2020,1638.337341244049,33489.621711090454,3439.13404797389,1885.7791,1033.27183,8110.8642,141.46331947925626,151.23544907182787,79.53048718276233,69.56333223934678,2.043314366334037,743.5787520497709,194.25577727636173,104.2175080933719,25.8774592371178,705.6151085357203
41,2021,1696.377634416537,35296.867650288776,3552.9242096630505,1984.03735,1059.80608,8086.6588,143.11656390975634,151.19949637860708,80.80077690347937,72.35997793262395,2.043314366334037,801.8427601735397,208.1651699452836,107.60276857356196,26.37596111135351,772.7007509229685
42,2022,1601.18886166564,35694.1688809472,3541.180610622195,1975.57847,1071.13489,8204.3189,145.0669134480166,151.26674069606295,82.09584866465036,73.46696070966104,2.043314366334037,680.9544802038424,182.7472345629274,107.52593145798268,22.77952267871717,801.1690873254081
